Zone Code;Zone Name;Dealer Code;Dealer Name;Sales Channel;Channel Description;Channel Group;City;District;Shipping Completed;VIN;Şasi;Model Description;Vehicle Version;Vehicle Code;Model Yılı;Connection Date;Deferred Delivery;Connection Status;Estimated Production Date;Customer Delivery Date;Sales Date;Sales Time;Final Customer Invoice Date;Brand;Exterior Color Type;Exterior Color;Interior Color;Invoice Date;Sales Type;Sales Type Description;Estimated Vessel Arrival Date;Estimated Delivery Date
J00;NORTHSTAR ZONE;BA-3-MAR-02;DEALER 7;RS;Additional Discounted Retail;B2C SALES;SİVAS;GEMEREK;Y;ZAC5JBCE9SJL66042;SJL66042;A1;A1V02;K4;2025;2025-10-16;NO;Delivery;W11/03/2025;2025-10-28;2025-10-20 00:00:00;1900-01-00;2025-10-20;NORTHSTAR;Color;White2;IG1b;2025-10-16;RE;Retail;;31.05.2025
J00;NORTHSTAR ZONE;BA-3-ICA-01;DEALER 1;RE;Retail;B2C SALES;ANKARA;SİNCAN;Y;ZAC5JBCE0SJL98460;SJL98460;A1;A1V01;K2;2025;2025-09-30;NO;Delivery;W24/06/2025;2025-10-09;2025-09-30 00:00:00;1900-01-00;2025-09-30;NORTHSTAR;Color;Grey1;IG1b;2025-09-29;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-EGE-04;DEALER 22;RE;Retail;B2C SALES;İZMİR;KARŞIYAKA;Y;ZAC5JBCEXSJL97395;SJL97395;A1;A1V01;K2;2025;2025-10-17;NO;Delivery;W24/06/2025;2025-10-25;2025-10-17 00:00:00;1900-01-00;2025-10-17;NORTHSTAR;Color;White2;IG1b;2025-09-18;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-ICA-01;DEALER 1;RE;Retail;B2C SALES;ANKARA;ETİMESGUT;Y;ZAC5JBCE2SJL97648;SJL97648;A1;A1V01;K2;2025;2025-09-30;NO;Delivery;W24/06/2025;2025-10-09;2025-09-30 00:00:00;1900-01-00;2025-09-30;NORTHSTAR;Color;White2;IG1b;2025-09-18;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-MAR-05;DEALER 13;RS;Additional Discounted Retail;B2C SALES;İSTANBUL;ATAŞEHİR;Y;ZAC5JBCE0SJL97440;SJL97440;A1;A1V01;K2;2025;2025-09-18;NO;Delivery;W24/06/2025;2025-10-03;2025-09-25 00:00:00;1900-01-00;2025-09-25;NORTHSTAR;Color;White2;IG1b;2025-09-18;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-MAR-02;DEALER 7;RE;Retail;B2C SALES;İSTANBUL;ESENYURT;Y;ZAC5JBCE5SJL97370;SJL97370;A1;A1V01;K2;2025;2025-09-18;NO;Delivery;W24/06/2025;2025-10-08;2025-09-30 00:00:00;1900-01-00;2025-09-30;NORTHSTAR;Color;White2;IG1b;2025-09-18;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-EGE-02;DEALER 6;RE;Retail;B2C SALES;İZMİR;KONAK;Y;ZAC5JBCE4SJL97635;SJL97635;A1;A1V01;K2;2025;2025-09-26;NO;Delivery;W24/06/2025;2025-10-06;2025-09-30 00:00:00;1900-01-00;2025-09-30;NORTHSTAR;Color;Black2;IG1b;2025-09-22;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-MAR-05;DEALER 13;RE;Retail;B2C SALES;İSTANBUL;KADIKÖY;Y;ZAC5JBCE5SJL97420;SJL97420;A1;A1V01;K2;2025;2025-09-30;NO;Delivery;W24/06/2025;2025-10-08;2025-09-30 00:00:00;1900-01-00;2025-09-30;NORTHSTAR;Color;Black2;IG1b;2025-09-18;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-ICA-01;DEALER 1;RS;Additional Discounted Retail;B2C SALES;ANKARA;ALTINDAĞ;Y;ZAC5JBCE8SJL97590;SJL97590;A1;A1V01;K2;2025;2025-09-20;NO;Delivery;W24/06/2025;2025-10-01;2025-09-23 00:00:00;1900-01-00;2025-09-23;NORTHSTAR;Color;Black2;IG1b;2025-09-22;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-MAR-06;DEALER 16;RE;Retail;B2C SALES;İSTANBUL;MALTEPE;Y;ZAC5JBCE0SJL97311;SJL97311;A1;A1V01;K2;2025;2025-09-19;NO;Delivery;W24/06/2025;2025-10-08;2025-09-30 00:00:00;1900-01-00;2025-09-30;NORTHSTAR;Color;Black2;IG1b;2025-09-19;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-MAR-07;DEALER 17;RS;Additional Discounted Retail;B2C SALES;İSTANBUL;ŞİŞLİ;Y;ZAC5JBCEXSJL97624;SJL97624;A1;A1V01;K2;2025;2025-09-18;NO;Delivery;W24/06/2025;2025-09-30;2025-09-22 00:00:00;1900-01-00;2025-09-22;NORTHSTAR;Color;Black2;IG1b;2025-09-19;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-MAR-08;DEALER 18;RE;Retail;B2C SALES;İSTANBUL;KADIKÖY;Y;ZAC5JBCE4SJL97425;SJL97425;A1;A1V01;K2;2025;2025-09-27;NO;Delivery;W24/06/2025;2025-10-04;2025-09-30 00:00:00;1900-01-00;2025-09-30;NORTHSTAR;Color;Black2;IG1b;2025-09-23;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-MAR-05;DEALER 13;RS;Additional Discounted Retail;B2C SALES;İSTANBUL;KADIKÖY;Y;ZAC5JBCE1SJL97415;SJL97415;A1;A1V01;K2;2025;2025-09-26;NO;Delivery;W24/06/2025;2025-10-08;2025-09-30 00:00:00;1900-01-00;2025-09-30;NORTHSTAR;Color;Black2;IG1b;2025-09-29;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-ICA-01;DEALER 1;RE;Retail;B2C SALES;ANKARA;SİNCAN;Y;ZAC5JBCE3SJL97643;SJL97643;A1;A1V01;K2;2025;2025-10-16;NO;Delivery;W24/06/2025;2025-10-24;2025-10-16 00:00:00;1900-01-00;2025-10-16;NORTHSTAR;Color;Black2;IG1b;2025-09-29;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-MAR-03;DEALER 8;RS;Additional Discounted Retail;B2C SALES;TEKİRDAĞ;MERKEZ;Y;ZAC5JBCE6SJL97409;SJL97409;A1;A1V01;K2;2025;2025-09-22;NO;Delivery;W24/06/2025;2025-10-04;2025-09-26 00:00:00;1900-01-00;2025-09-26;NORTHSTAR;Color;Black2;IG1b;2025-09-22;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-ICA-01;DEALER 1;RE;Retail;B2C SALES;ANKARA;ÇANKAYA;Y;ZAC5JBCE5SJL97692;SJL97692;A1;A1V01;K2;2025;2025-09-24;NO;Delivery;W24/06/2025;2025-10-02;2025-09-24 00:00:00;1900-01-00;2025-09-24;NORTHSTAR;Color;Grey3;IG1b;2025-09-18;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-MAR-08;DEALER 18;RS;Additional Discounted Retail;B2C SALES;İSTANBUL;MALTEPE;Y;ZAC5JBCE9SJL97467;SJL97467;A1;A1V01;K2;2025;2025-09-22;NO;Delivery;W24/06/2025;2025-10-08;2025-09-30 00:00:00;1900-01-00;2025-09-30;NORTHSTAR;Color;Grey3;IG1b;2025-09-23;RE;Retail;;31.07.2025
001;1 BOLGE - NORTHSTAR;BA-3-EGE-01;DEALER 2;RS;Additional Discounted Retail;B2C SALES;İZMİR;KONAK;Y;ZAC5JBCE1SJL97463;SJL97463;A1;A1V01;K2;2025;2025-09-18;NO;Delivery;W24/06/2025;2025-09-30;2025-09-22 00:00:00;1900-01-00;2025-09-22;NORTHSTAR;Color;Grey3;IG1b;2025-09-18;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-AKD-04;DEALER 15;RS;Additional Discounted Retail;B2C SALES;ANTALYA;KONYAALTI;Y;ZAC5JBCEXSJL97655;SJL97655;A1;A1V01;K2;2025;2025-09-29;NO;Delivery;W24/06/2025;2025-10-08;2025-09-30 00:00:00;1900-01-00;2025-09-30;NORTHSTAR;Color;Grey3;IG1b;2025-09-29;RE;Retail;;31.07.2025
