;Oca.24;Şub.24;Mar.24;Nis.24;May.24;Haz.24;Tem.24;Ağu.24;Eyl.24;Eki.24;Kas.24;Ara.24;Oca.25;Şub.25;Mar.25;Nis.25;May.25;Haz.25;Tem.25;Ağu.25;Eyl.25;Eki.25;Kas.25;Ara.25
;;;;;;;;;;;;;;;;;;;;;;;;
CITROEN;1.948;5.664;4.990;2.360;2.911;5.505;3.117;2.515;2.125;2.606;3.425;6.053;2.126;1.752;3.542;2.731;3.941;4.509;3.932;3.650;4.660;4.451;4.996;7.528
KIA;820;1.378;1.717;688;1.079;1.047;1.327;2.094;1.597;1.854;1.963;2.403;1.564;2.091;2.882;2.152;2.200;2.025;2.342;1.366;2.366;1.965;1.925;2.542
NISSAN;2.057;1.670;1.300;1.733;1.779;1.817;2.544;2.138;2.984;2.038;2.764;4.264;1.440;2.015;2.753;759;2.508;2.286;1.670;1.520;4.501;2.594;4.404;1.657
OPEL;1.731;4.919;4.579;3.341;3.078;3.547;3.567;3.595;3.459;3.266;4.258;5.872;2.416;3.502;3.698;3.860;3.667;3.386;4.268;3.973;3.884;4.478;4.445;6.439
PEUGEOT;3.020;4.333;5.627;3.777;4.025;5.118;3.645;2.840;3.354;4.191;6.250;7.706;2.425;4.032;7.980;5.984;4.381;5.053;4.211;3.409;4.199;4.498;5.694;7.932
RENAULT;1.512;1.736;2.808;1.268;1.679;1.665;1.645;2.521;1.988;2.802;3.012;3.801;1.846;2.183;1.817;1.604;997;1.769;1.364;1.437;827;1.323;2.412;2.248
SKODA;2.718;4.065;2.797;2.125;4.162;4.352;3.459;3.230;3.414;3.766;3.674;6.210;2.359;2.262;3.767;3.489;3.792;4.512;3.178;3.096;3.548;3.530;6.056;5.732
TOYOTA;1.636;638;531;514;435;1.051;1.261;1.086;495;420;766;1.171;987;1.652;1.268;1.555;929;1.172;1.284;1.578;1.168;1.303;1.284;1.318
VOLKSWAGEN;4.580;4.188;3.561;5.272;8.036;5.043;7.152;5.284;4.363;7.732;8.258;11.064;4.293;4.946;6.193;5.813;6.671;8.418;5.709;5.602;6.464;11.001;9.437;14.135
;;;;;;;;;;;;;;;;;;;;;;;;
TOPLAM:;20.022;28.591;27.910;21.078;27.184;29.145;27.717;25.303;23.779;28.675;34.370;48.544;19.456;24.435;33.900;27.947;29.086;33.130;27.958;25.631;31.617;35.143;40.653;49.531
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
