;Oca.24;Şub.24;Mar.24;Nis.24;May.24;Haz.24;Tem.24;Ağu.24;Eyl.24;Eki.24;Kas.24;Ara.24;Oca.25;Şub.25;Mar.25;Nis.25;May.25;Haz.25;Tem.25;Ağu.25;Eyl.25;Eki.25;Kas.25;Ara.25
;;;;;;;;;;;;;;;;;;;;;;;;
ALFA ROMEO;106;106;111;40;45;32;57;44;50;169;199;296;113;96;138;127;170;168;141;42;151;158;178;259
ASTON MARTIN;2;2;1;2;0;1;0;1;0;1;1;4;4;3;2;2;3;4;4;2;1;2;4;4
AUDI;1.265;1.560;1.370;884;1.274;1.078;1.607;1.901;1.346;2.113;1.790;3.512;970;1.745;1.811;2.241;2.404;2.248;1.813;1.931;1.853;2.145;2.095;3.576
BENTLEY;1;2;9;2;3;2;1;1;6;2;3;5;2;2;2;3;3;3;8;2;3;1;8;1
BMW;666;1.470;1.794;1.388;2.172;1.665;1.510;1.689;2.462;2.461;3.783;4.724;1.771;2.374;3.706;3.546;2.632;2.583;1.831;2.298;2.110;2.040;2.604;6.497
BYD;155;220;175;312;203;361;235;69;0;0;407;6.194;2.758;2.583;2.870;5.397;5.036;6.857;3.783;2.600;2.485;1.006;5.395;4.767
CHERY;4.450;5.006;6.011;5.315;6.208;7.511;6.638;3.643;3.215;2.814;3.105;3.131;1.016;2.690;2.916;3.010;2.907;2.807;2.288;2.349;2.571;2.005;2.104;1.916
CITROEN;1.948;5.664;4.990;2.360;2.911;5.505;3.117;2.515;2.125;2.606;3.425;6.053;2.126;1.752;3.542;2.731;3.941;4.509;3.932;3.650;4.660;4.451;4.996;7.528
CUPRA;368;636;1.037;461;744;863;872;733;455;653;1.178;1.663;423;436;1.178;1.211;1.198;942;1.110;793;1.970;722;502;2.513
DACIA;3.435;3.938;3.526;2.356;3.385;3.060;2.240;2.492;1.991;2.161;2.096;2.978;1.359;1.839;2.077;1.978;2.182;1.253;1.011;2.412;3.406;1.690;2.453;3.745
DFSK;21;16;49;44;30;24;99;76;40;51;25;29;21;8;26;38;25;23;15;5;0;0;0;0
DS;403;209;189;78;127;121;117;95;40;129;169;294;125;142;143;200;148;168;190;129;400;218;147;252
FERRARI;2;1;2;3;3;1;2;2;1;3;1;3;0;2;2;2;1;3;5;1;1;4;1;3
FIAT;40;72;91;36;55;87;106;32;34;137;125;258;13;10;36;113;102;76;34;35;47;639;592;431
FORD;3.062;1.938;3.282;1.867;2.568;2.514;2.015;2.345;1.322;1.863;1.838;5.003;1.619;2.153;2.571;2.760;2.103;1.648;2.442;1.742;2.019;1.821;1.900;3.676
HONDA;842;2.130;2.964;1.331;3.110;3.170;1.612;2.481;1.555;1.272;1.398;1.767;1.195;1.384;1.010;834;890;1.407;1.372;1.514;1.710;1.675;1.697;1.449
HONGQI;2;1;1;1;2;2;1;1;1;1;1;1;1;1;0;1;1;1;1;3;4;4;7;8
HYUNDAI;1.064;1.369;1.726;1.032;1.319;962;1.538;1.759;1.818;1.900;1.214;1.728;1.264;1.410;1.854;1.994;1.971;2.026;1.945;1.970;2.232;1.977;2.491;3.642
ISUZU;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IVECO;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JAGUAR;5;13;6;6;5;2;1;3;5;3;1;10;2;5;10;0;0;0;0;0;0;0;0;0
JEEP;405;377;278;121;204;298;255;351;243;235;224;375;204;186;258;241;253;238;303;318;352;310;320;503
KARSAN;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KIA;820;1.378;1.717;688;1.079;1.047;1.327;2.094;1.597;1.854;1.963;2.403;1.564;2.091;2.882;2.152;2.200;2.025;2.342;1.366;2.366;1.965;1.925;2.542
LAMBORGHINI;2;3;1;1;2;1;1;1;4;0;2;4;0;1;2;1;3;3;3;3;3;3;3;3
LAND ROVER;143;205;202;200;291;287;296;500;153;161;244;291;186;171;204;158;155;150;177;143;174;166;183;218
LEAPMOTOR;22;17;19;23;17;22;16;14;23;12;15;18;7;3;4;11;27;26;22;13;19;13;37;18
LEXUS;14;33;98;85;52;30;60;66;90;91;98;99;29;43;81;65;39;40;108;63;75;74;78;47
MASERATI;12;23;33;21;22;20;30;25;15;18;23;34;14;10;25;24;20;27;15;5;8;11;8;15
MAXUS;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MERCEDES-BENZ;1.718;2.135;2.697;1.772;2.160;2.189;2.188;2.298;2.937;2.690;3.002;4.181;1.924;2.152;3.089;2.505;2.254;2.658;2.795;2.833;2.894;2.399;2.954;4.917
MG;971;1.745;3.233;1.236;2.293;1.596;1.517;1.470;1.331;1.096;368;306;143;175;273;315;217;234;128;89;90;141;107;368
MINI;97;154;116;111;251;367;467;247;656;526;827;936;292;1.005;1.147;1.158;1.524;836;542;561;657;667;800;1.191
MITSUBISHI;1;5;6;6;10;11;13;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NISSAN;2.057;1.670;1.300;1.733;1.779;1.817;2.544;2.138;2.984;2.038;2.764;4.264;1.440;2.015;2.753;759;2.508;2.286;1.670;1.520;4.501;2.594;4.404;1.657
OPEL;1.731;4.919;4.579;3.341;3.078;3.547;3.567;3.595;3.459;3.266;4.258;5.872;2.416;3.502;3.698;3.860;3.667;3.386;4.268;3.973;3.884;4.478;4.445;6.439
PEUGEOT;3.020;4.333;5.627;3.777;4.025;5.118;3.645;2.840;3.354;4.191;6.250;7.706;2.425;4.032;7.980;5.984;4.381;5.053;4.211;3.409;4.199;4.498;5.694;7.932
PORSCHE;78;93;117;63;99;61;61;78;90;167;136;160;74;91;125;94;116;99;95;77;80;91;76;189
RENAULT;1.512;1.736;2.808;1.268;1.679;1.665;1.645;2.521;1.988;2.802;3.012;3.801;1.846;2.183;1.817;1.604;997;1.769;1.364;1.437;827;1.323;2.412;2.248
SEAT;381;769;1.133;571;830;1.368;1.722;717;424;965;2.414;1.176;300;563;751;829;816;876;426;354;431;953;1.113;2.445
SERES;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SKODA;2.718;4.065;2.797;2.125;4.162;4.352;3.459;3.230;3.414;3.766;3.674;6.210;2.359;2.262;3.767;3.489;3.792;4.512;3.178;3.096;3.548;3.530;6.056;5.732
SKYWELL;33;25;38;46;25;33;27;23;36;38;26;38;22;12;8;21;37;34;28;23;37;33;47;48
SMART;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SSANGYONG;458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SUBARU;15;23;45;43;25;30;33;17;23;19;26;36;75;36;38;32;41;22;22;31;47;51;29;27
SUZUKI;602;525;915;520;975;648;497;250;171;61;204;526;295;386;461;515;617;512;591;597;435;318;484;684
TESLA;220;75;80;27;10;2.670;420;1.050;2.475;340;1.860;2.307;0;3.310;100;130;1.545;7.235;4.706;8.730;1.664;0;2.535;1.554
TOGG;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
