AKTİFLİK DURUMU;Ara.25;Oca.26;Şub.26;Mar.26;Nis.26;May.26
DEALER 1;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 2;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 3;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 4;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 5;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 6;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 7;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 8;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;KAPANDI
DEALER 9;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 10;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 11;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 12;AKTİF;AKTİF;KAPANDI;KAPANDI;KAPANDI;KAPANDI
DEALER 13;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 14;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 15;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 16;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 17;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 18;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 19;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 20;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 21;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 22;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 23;AKTİF DEĞİL;AKTİF DEĞİL;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 24;AKTİF DEĞİL;AKTİF DEĞİL;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 25;AKTİF DEĞİL;AKTİF DEĞİL;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 26;AKTİF DEĞİL;AKTİF DEĞİL;AKTİF;AKTİF;AKTİF;AKTİF
DEALER 27;AKTİF DEĞİL;AKTİF DEĞİL;AKTİF DEĞİL;AKTİF DEĞİL;AKTİF DEĞİL;AKTİF
DEALER 28;AKTİF DEĞİL;AKTİF DEĞİL;AKTİF;AKTİF;AKTİF;AKTİF
