;BAYİ KODU;OCAK;ŞUBAT;MART;NİSAN;MAYIS
DEALER 1;BA-3-ICA-01;20;23;51;51;52
DEALER 2;BA-3-EGE-01;11;12;29;27;32
DEALER 3;BA-3-AKD-01;9;11;27;24;28
DEALER 4;BA-3-AKD-02;9;9;21;20;23
DEALER 5;BA-3-MAR-01;8;13;29;29;33
DEALER 6;BA-3-EGE-02;14;15;36;34;40
DEALER 7;BA-3-MAR-02;19;18;43;40;47
DEALER 8;BA-3-MAR-03;8;6;14;14;0
DEALER 9;BA-3-ICA-02;4;5;11;11;13
DEALER 10;BA-3-ICA-03;6;7;18;16;19
DEALER 11;BA-3-AKD-03;4;4;9;9;11
DEALER 12;BA-3-MAR-04;10;0;0;0;0
DEALER 13;BA-3-MAR-05;17;18;40;39;45
DEALER 14;BA-3-ICA-04;15;17;40;38;36
DEALER 15;BA-3-AKD-04;17;15;35;35;32
DEALER 16;BA-3-MAR-06;19;17;38;38;44
DEALER 17;BA-3-MAR-07;19;17;41;39;44
DEALER 18;BA-3-MAR-08;17;16;38;35;41
DEALER 19;BA-3-GDA-01;8;7;16;17;17
DEALER 20;BA-3-KAR-01;4;5;10;10;12
DEALER 21;BA-3-EGE-03;6;8;19;19;21
DEALER 22;BA-3-EGE-04;6;7;16;16;17
DEALER 23;BA-3-ICA-05;;4;12;9;9
DEALER 24;BA-3-MAR-09;;4;9;26;29
DEALER 25;BA-3-KAR-02;;2;4;10;12
DEALER 26;BA-3-MAR-10;;4;8;23;27
DEALER 27;BA-3-MAR-11;;1;0;0;12
DEALER 28;BA-3-MAR-12;;4;8;23;27
;;250;269;622;652;723
