Harita Konumu
DEALER 1;39.8972755,32.6805304
DEALER 2;38.359972,27.136247
DEALER 3;36.987081,35.134250
DEALER 4;36.808530,34.602551
DEALER 5;40.7965216,29.3854523
DEALER 6;38.460598,27.173128
DEALER 7;41.022163,28.812565
DEALER 8;40.9883226,27.5914106
DEALER 9;38.754222,35.344300
DEALER 10;37.714388,33.037807
DEALER 11;37.558047,36.954844
DEALER 12;40.284756,29.054335
DEALER 13;40.9808038,29.0990564
DEALER 14;39.961972,32.760281
DEALER 15;36.9196597,30.6322527
DEALER 16;41.009099,28.656071
DEALER 17;41.114761,29.058369
DEALER 18;40.9584065,29.0839168
DEALER 19;37.082257,37.360765
DEALER 20;41.013266,39.605626
DEALER 21;37.152242,27.571076
DEALER 22;37.819197,29.124160
DEALER 23;40.216181,28.887613
DEALER 24;41.569932,35.854104
DEALER 25;41.055768,28.829130
DEALER 26;41.141229,27.864863
DEALER 27;40.332135,36.568709
DEALER 28;39.755354,37.061388
