Dealer Code Processing;Dealer Name;Long Chassis;Model Description;Vehicle Version;Vehicle Code;Model Year;Color Type;Exterior Color;Interior Color;Physical Status Description;Estimated Production Day;Estimated Production Week;Sales Type;Sales Type Description;Have a Customer;Invoiced?;Dispatchable;Quota Status;Central / Dealer Quota;Production Day;Related Month Availability;Status;Month Number
CENT-STOCK;CENTRAL STOCK;B1V02aMY25N9000001;B1;B1V02a;N9;2025;Color;Black2;IB2c;VIN assigned;17.12.2025;W51/12/2025;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;20.12.2025;Following Months;Produced;December
CENT-STOCK;CENTRAL STOCK;B1V02aMY25N9000002;B1;B1V02a;N9;2025;Color;Black2;IB2c;VIN assigned;17.12.2025;W51/12/2025;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;20.12.2025;Following Months;Produced;December
CENT-STOCK;CENTRAL STOCK;A2V02MY25L6000003;A2;A2V02;L6;2025;Color;Grey1;IG1a;Ready for dispatch;7.11.2025;W45/11/2025;RE;Perakende;NO;N;Y;Merkezi Kota;Central;7.11.2025;Availability;Central Stock;Current Month
CENT-STOCK;CENTRAL STOCK;A3V02MY25M8000004;A3;A3V02;M8;2025;Color;Beige;IG1a;Locked order;9.07.2025;W28/07/2025;RE;Perakende;NO;N;Y;Merkezi Kota;Central;9.07.2025;Following Months;To Be Produced;July
CENT-STOCK;CENTRAL STOCK;A3V02MY25M8000005;A3;A3V02;M8;2025;Color;Grey3;IG1a;VIN assigned;18.12.2025;W51/12/2025;RE;Perakende;NO;N;Y;Merkezi Kota;Central;17.12.2025;Following Months;Produced;December
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000006;A3;A3V02;M8;2026;Color;Grey3;IG1a;Locked order;29.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;29.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY25M8000007;A3;A3V02;M8;2025;Color;Grey3;IG1a;VIN assigned;18.12.2025;W51/12/2025;RE;Perakende;NO;N;Y;Merkezi Kota;Central;17.12.2025;Following Months;Produced;December
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000008;A3;A3V02;M8;2026;Color;Grey3;IG1a;Locked order;28.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;28.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000009;A3;A3V02;M8;2026;Color;Grey3;IG1a;Partially modifiable order;3.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;3.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY25M8000010;A3;A3V02;M8;2025;Color;Grey3;IG1a;VIN assigned;18.12.2025;W51/12/2025;RE;Perakende;NO;N;Y;Merkezi Kota;Central;17.12.2025;Following Months;Produced;December
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000011;A3;A3V02;M8;2026;Color;Grey3;IG1a;Locked order;29.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;29.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000012;A3;A3V02;M8;2026;Color;Grey3;IG1a;Partially modifiable order;3.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;3.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000013;A3;A3V02;M8;2026;Color;Grey3;IG1a;Partially modifiable order;4.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;4.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000014;A3;A3V02;M8;2026;Color;Grey3;IG1a;Locked order;29.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;29.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000015;A3;A3V02;M8;2026;Color;Grey3;IG1a;Locked order;29.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;29.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000016;A3;A3V02;M8;2026;Color;Grey3;IG1a;Locked order;30.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;30.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000017;A3;A3V02;M8;2026;Color;Grey3;IG1a;Partially modifiable order;3.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;3.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000018;A3;A3V02;M8;2026;Color;Grey3;IG1a;Locked order;28.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;28.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000019;A3;A3V02;M8;2026;Color;Grey3;IG1a;Locked order;28.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;28.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000020;A3;A3V02;M8;2026;Color;White2;IG1a;Locked order;29.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;29.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000021;A3;A3V02;M8;2026;Color;White2;IG1a;Locked order;29.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;29.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000022;A3;A3V02;M8;2026;Color;White2;IG1a;Locked order;28.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;28.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000023;A3;A3V02;M8;2026;Color;White2;IG1a;Locked order;28.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;28.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000024;A3;A3V02;M8;2026;Color;White2;IG1a;Partially modifiable order;4.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;4.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000025;A3;A3V02;M8;2026;Color;White2;IG1a;Locked order;29.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;29.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000026;A3;A3V02;M8;2026;Color;White2;IG1a;Partially modifiable order;3.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;3.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000027;A3;A3V02;M8;2026;Color;Grey1;IG1a;Locked order;28.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;28.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000028;A3;A3V02;M8;2026;Color;Grey1;IG1a;Locked order;28.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;28.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000029;A3;A3V02;M8;2026;Color;Grey1;IG1a;Locked order;28.01.2026;W05/01/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;28.01.2026;Following Months;To Be Produced;January
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8000030;A3;A3V02;M8;2026;Color;Grey1;IG1a;Partially modifiable order;3.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;3.02.2026;Following Months;To Be Produced;February
