Dealer Name,A2,A3,B1,B2,C1,D1,TOPLAM
DEALER 17,75,165,51,3,148,2,444
DEALER 1,61,74,70,2,54,2,263
DEALER 7,61,58,63,0,41,1,224
DEALER 16,49,53,50,2,60,4,218
DEALER 15,45,74,39,2,42,0,202
DEALER 6,37,50,48,0,49,0,184
DEALER 14,42,46,34,0,47,0,169
DEALER 18,46,29,51,2,39,0,167
DEALER 13,39,37,47,0,33,2,158
DEALER 3,20,41,31,0,31,1,124
DEALER 4,29,28,26,0,26,0,109
DEALER 12,35,18,19,0,24,0,96
DEALER 5,27,20,16,0,30,0,93
DEALER 8,20,14,26,1,26,0,87
DEALER 10,17,22,15,0,26,0,80
DEALER 21,20,27,14,1,17,0,79
DEALER 19,18,17,16,0,28,0,79
DEALER 2,28,14,12,1,13,0,68
DEALER 22,20,18,11,0,11,0,60
DEALER 11,13,13,8,0,11,0,45
DEALER 9,8,10,8,0,11,0,37
DEALER 20,12,7,6,0,10,0,35
