,dealer,top_model,top_version,top_color,total_sales
0,DEALER 17,A3,A3V02,Grey3,444
1,DEALER 1,A3,A3V02,Grey2,263
2,DEALER 7,B1,A3V02,Grey2,224
3,DEALER 16,C1,A3V02,Black1,218
4,DEALER 15,A3,A3V02,Grey3,202
5,DEALER 6,A3,A3V02,Grey2,184
6,DEALER 14,C1,A3V02,Grey2,169
7,DEALER 18,B1,B1V01,Grey2,167
8,DEALER 13,B1,A3V02,Grey2,158
9,DEALER 3,A3,A3V02,Grey2,124
10,DEALER 4,A2,A3V02,Black1,109
11,DEALER 12,A2,C1V01,Grey3,96
12,DEALER 5,C1,C1V01,Black1,93
13,DEALER 8,B1,C1V01,Grey2,87
14,DEALER 10,C1,A3V02,Grey2,80
15,DEALER 21,A3,A3V02,Grey3,79
16,DEALER 19,C1,C1V01,Grey2,79
17,DEALER 2,A2,A2V02,Grey3,68
18,DEALER 22,A2,A3V02,Black2,60
19,DEALER 11,A3,A3V02,Grey3,45
20,DEALER 9,C1,A3V02,Black1,37
21,DEALER 20,A2,A3V02,Grey2,35
