Dealer Name,A1,A2,A3,B1,B2,C1,D1,TOPLAM
DEALER 17,13,238,52,67,0,23,1,394
DEALER 1,15,168,42,93,0,1,0,319
DEALER 7,5,177,29,90,0,4,0,305
DEALER 13,10,115,26,64,2,1,4,222
DEALER 15,6,103,38,55,0,3,0,205
DEALER 16,7,80,30,77,0,7,2,203
DEALER 6,7,96,24,66,0,2,1,196
DEALER 18,10,101,17,58,0,2,1,189
DEALER 14,5,111,22,39,0,1,0,178
DEALER 3,1,72,23,43,0,3,0,142
DEALER 2,7,66,29,30,0,2,0,134
DEALER 4,3,58,19,48,0,3,0,131
DEALER 8,2,62,18,34,0,4,1,121
DEALER 5,4,52,8,38,0,1,0,103
DEALER 12,4,49,12,32,0,1,0,98
DEALER 19,1,36,19,36,0,5,0,97
DEALER 21,2,50,14,23,0,1,0,90
DEALER 22,1,40,17,29,0,1,0,88
DEALER 10,1,52,10,21,0,2,0,86
DEALER 20,4,30,3,8,0,0,0,45
DEALER 11,0,23,6,10,0,1,0,40
DEALER 9,0,16,7,7,0,2,0,32
