Dealer Name,A1V01,A1V02,A2V01,A2V02,A3V01,A3V02,B1V01,B1V02,B1V03,B2V01a,C1V01,D1V01,TOPLAM
DEALER 17,13,0,84,154,5,47,14,49,4,0,23,1,394
DEALER 1,15,0,32,136,6,36,27,53,13,0,1,0,319
DEALER 7,4,1,47,130,8,21,39,43,8,0,4,0,305
DEALER 13,10,0,18,97,4,22,11,50,3,2,1,4,222
DEALER 15,6,0,18,85,15,23,18,31,6,0,3,0,205
DEALER 16,7,0,17,63,7,23,25,44,8,0,7,2,203
DEALER 6,7,0,11,85,4,20,30,30,6,0,2,1,196
DEALER 18,10,0,10,91,2,15,15,33,10,0,2,1,189
DEALER 14,5,0,18,93,2,20,13,22,4,0,1,0,178
DEALER 3,1,0,13,59,6,17,18,21,4,0,3,0,142
DEALER 2,7,0,17,49,6,23,9,19,2,0,2,0,134
DEALER 4,3,0,11,47,6,13,17,25,6,0,3,0,131
DEALER 8,2,0,26,36,8,10,21,11,2,0,4,1,121
DEALER 5,4,0,8,44,0,8,10,23,5,0,1,0,103
DEALER 12,4,0,15,34,2,10,11,15,6,0,1,0,98
DEALER 19,1,0,12,24,9,10,18,18,0,0,5,0,97
DEALER 21,2,0,7,43,2,12,3,15,5,0,1,0,90
DEALER 22,1,0,4,36,6,11,6,20,3,0,1,0,88
DEALER 10,1,0,20,32,2,8,4,16,1,0,2,0,86
DEALER 20,4,0,10,20,1,2,2,5,1,0,0,0,45
DEALER 11,0,0,3,20,1,5,1,8,1,0,1,0,40
DEALER 9,0,0,2,14,1,6,1,6,0,0,2,0,32
