,year,month,Model Description,sales_qty,year_month
0,2025,1,A2,94,2025-01
1,2025,1,A3,35,2025-01
2,2025,1,B1,21,2025-01
3,2025,1,B2,2,2025-01
4,2025,1,C1,13,2025-01
5,2025,1,D1,1,2025-01
6,2025,2,A2,74,2025-02
7,2025,2,A3,30,2025-02
8,2025,2,B1,66,2025-02
9,2025,2,C1,8,2025-02
10,2025,2,D1,1,2025-02
11,2025,3,A2,89,2025-03
12,2025,3,A3,24,2025-03
13,2025,3,B1,113,2025-03
14,2025,3,C1,24,2025-03
15,2025,3,D1,4,2025-03
16,2025,4,A2,116,2025-04
17,2025,4,A3,34,2025-04
18,2025,4,B1,67,2025-04
19,2025,4,C1,18,2025-04
20,2025,5,A2,138,2025-05
21,2025,5,A3,35,2025-05
22,2025,5,B1,70,2025-05
23,2025,5,C1,3,2025-05
24,2025,5,D1,4,2025-05
25,2025,6,A2,93,2025-06
26,2025,6,A3,58,2025-06
27,2025,6,B1,83,2025-06
28,2025,6,C1,4,2025-06
29,2025,7,A2,137,2025-07
30,2025,7,A3,61,2025-07
31,2025,7,B1,104,2025-07
32,2025,8,A2,96,2025-08
33,2025,8,A3,28,2025-08
34,2025,8,B1,193,2025-08
35,2025,9,A1,37,2025-09
36,2025,9,A2,197,2025-09
37,2025,9,A3,31,2025-09
38,2025,9,B1,83,2025-09
39,2025,10,A1,11,2025-10
40,2025,10,A2,198,2025-10
41,2025,10,A3,28,2025-10
42,2025,10,B1,73,2025-10
43,2025,11,A1,30,2025-11
44,2025,11,A2,187,2025-11
45,2025,11,A3,62,2025-11
46,2025,11,B1,41,2025-11
47,2025,12,A1,30,2025-12
48,2025,12,A2,376,2025-12
49,2025,12,A3,39,2025-12
50,2025,12,B1,54,2025-12
