,year,month,channel,metric_type,value
0,2025,JAN'25,ALL,achievement_pct,99.49
1,2025,FEB'25,ALL,achievement_pct,79.638
2,2025,MAR'25,ALL,achievement_pct,100.455
3,2025,APR'25,ALL,achievement_pct,105.634
4,2025,MAY'25,ALL,achievement_pct,115.263
5,2025,JUN'25,ALL,achievement_pct,114.493
6,2025,JUL'25,ALL,achievement_pct,118.349
7,2025,AUG'25,ALL,achievement_pct,113.953
8,2025,SEP'25,ALL,achievement_pct,130.769
9,2025,OCT'25,ALL,achievement_pct,107.57
10,2025,NOV'25,ALL,achievement_pct,88.855
11,2025,DEC'25,ALL,achievement_pct,113.296
12,2025,JAN'25,B2B+B2C,target,206.0
13,2025,FEB'25,B2B+B2C,target,241.0
14,2025,MAR'25,B2B+B2C,target,250.0
15,2025,APR'25,B2B+B2C,target,233.0
16,2025,MAY'25,B2B+B2C,target,210.0
17,2025,JUN'25,B2B+B2C,target,257.0
18,2025,JUL'25,B2B+B2C,target,308.0
19,2025,AUG'25,B2B+B2C,target,308.0
20,2025,SEP'25,B2B+B2C,target,279.0
21,2025,OCT'25,B2B+B2C,target,281.0
22,2025,NOV'25,B2B+B2C,target,352.0
23,2025,DEC'25,B2B+B2C,target,411.0
24,2025,JAN'25,B2B,target,10.0
25,2025,FEB'25,B2B,target,20.0
26,2025,MAR'25,B2B,target,30.0
27,2025,APR'25,B2B,target,20.0
28,2025,MAY'25,B2B,target,20.0
29,2025,JUN'25,B2B,target,50.0
30,2025,JUL'25,B2B,target,90.0
31,2025,AUG'25,B2B,target,50.0
32,2025,SEP'25,B2B,target,45.0
33,2025,OCT'25,B2B,target,30.0
34,2025,NOV'25,B2B,target,20.0
35,2025,DEC'25,B2B,target,50.0
36,2025,JAN'25,B2C,target,196.0
37,2025,FEB'25,B2C,target,221.0
38,2025,MAR'25,B2C,target,220.0
39,2025,APR'25,B2C,target,213.0
40,2025,MAY'25,B2C,target,190.0
41,2025,JUN'25,B2C,target,207.0
42,2025,JUL'25,B2C,target,218.0
43,2025,AUG'25,B2C,target,258.0
44,2025,SEP'25,B2C,target,234.0
45,2025,OCT'25,B2C,target,251.0
46,2025,NOV'25,B2C,target,332.0
47,2025,DEC'25,B2C,target,361.0
48,2025,JAN'25,B2B,achievement,9.0
49,2025,FEB'25,B2B,achievement,7.0
50,2025,MAR'25,B2B,achievement,36.0
51,2025,APR'25,B2B,achievement,10.0
52,2025,MAY'25,B2B,achievement,31.0
53,2025,JUN'25,B2B,achievement,1.0
54,2025,JUL'25,B2B,achievement,44.0
55,2025,AUG'25,B2B,achievement,23.0
56,2025,SEP'25,B2B,achievement,42.0
57,2025,OCT'25,B2B,achievement,40.0
58,2025,NOV'25,B2B,achievement,25.0
59,2025,DEC'25,B2B,achievement,90.0
60,2025,JAN'25,B2C,achievement,195.0
61,2025,FEB'25,B2C,achievement,176.0
62,2025,MAR'25,B2C,achievement,221.0
63,2025,APR'25,B2C,achievement,225.0
64,2025,MAY'25,B2C,achievement,219.0
65,2025,JUN'25,B2C,achievement,237.0
66,2025,JUL'25,B2C,achievement,258.0
67,2025,AUG'25,B2C,achievement,294.0
68,2025,SEP'25,B2C,achievement,306.0
69,2025,OCT'25,B2C,achievement,270.0
70,2025,NOV'25,B2C,achievement,295.0
71,2025,DEC'25,B2C,achievement,409.0
72,2025,JAN'25,B2B+B2C,achievement,204.0
73,2025,FEB'25,B2B+B2C,achievement,183.0
74,2025,MAR'25,B2B+B2C,achievement,257.0
75,2025,APR'25,B2B+B2C,achievement,235.0
76,2025,MAY'25,B2B+B2C,achievement,250.0
77,2025,JUN'25,B2B+B2C,achievement,238.0
78,2025,JUL'25,B2B+B2C,achievement,302.0
79,2025,AUG'25,B2B+B2C,achievement,317.0
80,2025,SEP'25,B2B+B2C,achievement,348.0
81,2025,OCT'25,B2B+B2C,achievement,310.0
82,2025,NOV'25,B2B+B2C,achievement,320.0
83,2025,DEC'25,B2B+B2C,achievement,499.0
84,2025,JAN'25,ALL,difference,2.0
85,2025,FEB'25,ALL,difference,58.0
86,2025,MAR'25,ALL,difference,-7.0
87,2025,APR'25,ALL,difference,-2.0
88,2025,MAY'25,ALL,difference,-40.0
89,2025,JUN'25,ALL,difference,19.0
90,2025,JUL'25,ALL,difference,6.0
91,2025,AUG'25,ALL,difference,-9.0
92,2025,SEP'25,ALL,difference,-69.0
93,2025,OCT'25,ALL,difference,-29.0
94,2025,NOV'25,ALL,difference,32.0
95,2025,DEC'25,ALL,difference,-88.0
