Dealer Name,A1,A2,A3,B1,B2,C1,D1,TOPLAM
DEALER 17,13,313,217,118,3,171,3,838
DEALER 1,15,229,116,163,2,55,2,582
DEALER 7,5,238,87,153,0,45,1,529
DEALER 16,7,129,83,127,2,67,6,421
DEALER 15,6,148,112,94,2,45,0,407
DEALER 13,10,154,63,111,2,34,6,380
DEALER 6,7,133,74,114,0,51,1,380
DEALER 18,10,147,46,109,2,41,1,356
DEALER 14,5,153,68,73,0,48,0,347
DEALER 3,1,92,64,74,0,34,1,266
DEALER 4,3,87,47,74,0,29,0,240
DEALER 8,2,82,32,60,1,30,1,208
DEALER 2,7,94,43,42,1,15,0,202
DEALER 5,4,79,28,54,0,31,0,196
DEALER 12,4,84,30,51,0,25,0,194
DEALER 19,1,54,36,52,0,33,0,176
DEALER 21,2,70,41,37,1,18,0,169
DEALER 10,1,69,32,36,0,28,0,166
DEALER 22,1,60,35,40,0,12,0,148
DEALER 11,0,36,19,18,0,12,0,85
DEALER 20,4,42,10,14,0,10,0,80
DEALER 9,0,24,17,15,0,13,0,69
