Dealer Name,A1V01,A1V02,A2V01,A2V02,A3V01,A3V02,B1V01,B1V01a,B1V02,B1V03,B2V01a,C1V01,C1V03,D1V01,TOPLAM
DEALER 17,13,0,116,197,5,212,41,24,49,4,3,123,48,3,838
DEALER 1,15,0,54,175,6,110,81,16,53,13,2,50,5,2,582
DEALER 7,4,1,78,160,8,79,84,18,43,8,0,36,9,1,529
DEALER 16,7,0,39,90,7,76,58,17,44,8,2,58,9,6,421
DEALER 15,6,0,39,109,15,97,43,14,31,6,2,39,6,0,407
DEALER 13,10,0,30,124,4,59,39,19,50,3,2,31,3,6,380
DEALER 6,7,0,21,112,4,70,63,15,30,6,0,38,13,1,380
DEALER 18,10,0,25,122,2,44,51,15,33,10,2,35,6,1,356
DEALER 14,5,0,43,110,2,66,36,11,22,4,0,37,11,0,347
DEALER 3,1,0,24,68,6,58,40,9,21,4,0,22,12,1,266
DEALER 4,3,0,26,61,6,41,34,9,25,6,0,22,7,0,240
DEALER 8,2,0,38,44,8,24,39,8,11,2,1,23,7,1,208
DEALER 2,7,0,29,65,6,37,21,0,19,2,1,15,0,0,202
DEALER 5,4,0,16,63,0,28,21,5,23,5,0,26,5,0,196
DEALER 12,4,0,32,52,2,28,23,7,15,6,0,20,5,0,194
DEALER 19,1,0,26,28,9,27,27,7,18,0,0,29,4,0,176
DEALER 21,2,0,13,57,2,39,13,4,15,5,1,16,2,0,169
DEALER 10,1,0,28,41,2,30,15,4,16,1,0,22,6,0,166
DEALER 22,1,0,13,47,6,29,15,2,20,3,0,8,4,0,148
DEALER 11,0,0,9,27,1,18,6,3,8,1,0,9,3,0,85
DEALER 20,4,0,17,25,1,9,5,3,5,1,0,6,4,0,80
DEALER 9,0,0,7,17,1,16,5,4,6,0,0,10,3,0,69
