,year,month,sales_qty,year_month
0,2024,1,397,2024-01
1,2024,2,365,2024-02
2,2024,3,271,2024-03
3,2024,4,113,2024-04
4,2024,5,196,2024-05
5,2024,6,286,2024-06
6,2024,7,226,2024-07
7,2024,8,305,2024-08
8,2024,9,208,2024-09
9,2024,10,185,2024-10
10,2024,11,162,2024-11
11,2024,12,307,2024-12
12,2025,1,166,2025-01
13,2025,2,179,2025-02
14,2025,3,254,2025-03
15,2025,4,235,2025-04
16,2025,5,250,2025-05
17,2025,6,238,2025-06
18,2025,7,302,2025-07
19,2025,8,317,2025-08
20,2025,9,348,2025-09
21,2025,10,310,2025-10
22,2025,11,320,2025-11
23,2025,12,499,2025-12
