,year,month,Model Description,sales_qty,year_month
0,2024,1,A3,98,2024-01
1,2024,1,B1,56,2024-01
2,2024,1,B2,2,2024-01
3,2024,1,C1,240,2024-01
4,2024,1,D1,1,2024-01
5,2024,2,A3,120,2024-02
6,2024,2,B1,89,2024-02
7,2024,2,B2,4,2024-02
8,2024,2,C1,151,2024-02
9,2024,2,D1,1,2024-02
10,2024,3,A3,120,2024-03
11,2024,3,B1,148,2024-03
12,2024,3,B2,3,2024-03
13,2024,4,A3,59,2024-04
14,2024,4,B1,37,2024-04
15,2024,4,C1,16,2024-04
16,2024,4,D1,1,2024-04
17,2024,5,A3,46,2024-05
18,2024,5,B1,59,2024-05
19,2024,5,B2,1,2024-05
20,2024,5,C1,85,2024-05
21,2024,5,D1,5,2024-05
22,2024,6,A2,84,2024-06
23,2024,6,A3,119,2024-06
24,2024,6,B1,33,2024-06
25,2024,6,B2,1,2024-06
26,2024,6,C1,49,2024-06
27,2024,7,A2,110,2024-07
28,2024,7,A3,40,2024-07
29,2024,7,B1,40,2024-07
30,2024,7,B2,1,2024-07
31,2024,7,C1,35,2024-07
32,2024,8,A2,155,2024-08
33,2024,8,A3,46,2024-08
34,2024,8,B1,72,2024-08
35,2024,8,B2,1,2024-08
36,2024,8,C1,31,2024-08
37,2024,9,A2,99,2024-09
38,2024,9,A3,27,2024-09
39,2024,9,B1,31,2024-09
40,2024,9,C1,50,2024-09
41,2024,9,D1,1,2024-09
42,2024,10,A2,88,2024-10
43,2024,10,A3,29,2024-10
44,2024,10,B1,22,2024-10
45,2024,10,C1,45,2024-10
46,2024,10,D1,1,2024-10
47,2024,11,A2,43,2024-11
48,2024,11,A3,43,2024-11
49,2024,11,B1,26,2024-11
50,2024,11,C1,49,2024-11
51,2024,11,D1,1,2024-11
52,2024,12,A2,143,2024-12
53,2024,12,A3,88,2024-12
54,2024,12,B1,48,2024-12
55,2024,12,B2,1,2024-12
56,2024,12,C1,26,2024-12
57,2024,12,D1,1,2024-12
58,2025,1,A2,94,2025-01
59,2025,1,A3,35,2025-01
60,2025,1,B1,21,2025-01
61,2025,1,B2,2,2025-01
62,2025,1,C1,13,2025-01
63,2025,1,D1,1,2025-01
64,2025,2,A2,74,2025-02
65,2025,2,A3,30,2025-02
66,2025,2,B1,66,2025-02
67,2025,2,C1,8,2025-02
68,2025,2,D1,1,2025-02
69,2025,3,A2,89,2025-03
70,2025,3,A3,24,2025-03
71,2025,3,B1,113,2025-03
72,2025,3,C1,24,2025-03
73,2025,3,D1,4,2025-03
74,2025,4,A2,116,2025-04
75,2025,4,A3,34,2025-04
76,2025,4,B1,67,2025-04
77,2025,4,C1,18,2025-04
78,2025,5,A2,138,2025-05
79,2025,5,A3,35,2025-05
80,2025,5,B1,70,2025-05
81,2025,5,C1,3,2025-05
82,2025,5,D1,4,2025-05
83,2025,6,A2,93,2025-06
84,2025,6,A3,58,2025-06
85,2025,6,B1,83,2025-06
86,2025,6,C1,4,2025-06
87,2025,7,A2,137,2025-07
88,2025,7,A3,61,2025-07
89,2025,7,B1,104,2025-07
90,2025,8,A2,96,2025-08
91,2025,8,A3,28,2025-08
92,2025,8,B1,193,2025-08
93,2025,9,A1,37,2025-09
94,2025,9,A2,197,2025-09
95,2025,9,A3,31,2025-09
96,2025,9,B1,83,2025-09
97,2025,10,A1,11,2025-10
98,2025,10,A2,198,2025-10
99,2025,10,A3,28,2025-10
100,2025,10,B1,73,2025-10
101,2025,11,A1,30,2025-11
102,2025,11,A2,187,2025-11
103,2025,11,A3,62,2025-11
104,2025,11,B1,41,2025-11
105,2025,12,A1,30,2025-12
106,2025,12,A2,376,2025-12
107,2025,12,A3,39,2025-12
108,2025,12,B1,54,2025-12
