dealer_name;dealer_code;vehicle_type;model;version;color;allocated_qty;composite_score;lp_affinity_score
DEALER 1;BA-3-ICA-01;A3 / A3V02 / Black2;A3;A3V02;Black2;3;0.6799;0.0348
DEALER 1;BA-3-ICA-01;B1 / B1V02a / Grey6;B1;B1V02a;Grey6;12;0.6799;0.0661
DEALER 1;BA-3-ICA-01;B1 / B1V02a / White3;B1;B1V02a;White3;5;0.6799;0.0661
DEALER 10;BA-3-ICA-03;A2 / A2V02 / Grey1;A2;A2V02;Grey1;6;0.2972;0.0438
DEALER 11;BA-3-AKD-03;A2 / A2V02 / Grey1;A2;A2V02;Grey1;4;0.3077;0.0544
DEALER 12;BA-3-MAR-04;A2 / A2V02 / Beige;A2;A2V02;Beige;6;0.4353;0.0455
DEALER 12;BA-3-MAR-04;A2 / A2V02 / Grey1;A2;A2V02;Grey1;4;0.4353;0.0368
DEALER 13;BA-3-MAR-05;A2 / A2V02 / Beige;A2;A2V02;Beige;9;0.5742;0.0461
DEALER 13;BA-3-MAR-05;A2 / A2V02 / Black2;A2;A2V02;Black2;8;0.5742;0.0485
DEALER 14;BA-3-ICA-04;A2 / A2V02 / Black2;A2;A2V02;Black2;15;0.6054;0.0514
DEALER 15;BA-3-AKD-04;A2 / A2V02 / White2;A2;A2V02;White2;9;0.5642;0.0513
DEALER 15;BA-3-AKD-04;A3 / A3V02 / White2;A3;A3V02;White2;8;0.5642;0.0484
DEALER 16;BA-3-MAR-06;B1 / B1V01b / Blue4;B1;B1V01b;Blue4;4;0.5875;0.0764
DEALER 16;BA-3-MAR-06;B1 / B1V01b / Grey6;B1;B1V01b;Grey6;15;0.5875;0.0764
DEALER 17;BA-3-MAR-07;A2 / A2V02 / Grey3;A2;A2V02;Grey3;11;0.7899;0.0717
DEALER 17;BA-3-MAR-07;A3 / A3V02 / Grey3;A3;A3V02;Grey3;8;0.7899;0.0744
DEALER 18;BA-3-MAR-08;A2 / A2V02 / Beige;A2;A2V02;Beige;17;0.5912;0.0511
DEALER 19;BA-3-GDA-01;B1 / B1V01b / Blue4;B1;B1V01b;Blue4;8;0.2573;0.0807
DEALER 2;BA-3-EGE-01;A2 / A2V02 / Beige;A2;A2V02;Beige;1;0.2833;0.0545
DEALER 2;BA-3-EGE-01;A2 / A2V02 / White2;A2;A2V02;White2;10;0.2833;0.0572
DEALER 20;BA-3-KAR-01;A2 / A2V02 / Black2;A2;A2V02;Black2;4;0.1722;0.0656
DEALER 21;BA-3-EGE-03;A2 / A2V02 / Grey3;A2;A2V02;Grey3;6;0.228;0.0658
DEALER 22;BA-3-EGE-04;A2 / A2V02 / Black2;A2;A2V02;Black2;6;0.1152;0.0528
DEALER 3;BA-3-AKD-01;A3 / A3V02 / Beige;A3;A3V02;Beige;8;0.4297;0.0425
DEALER 3;BA-3-AKD-01;B1 / B1V02a / Grey6;B1;B1V02a;Grey6;1;0.4297;0.0708
DEALER 4;BA-3-AKD-02;B1 / B1V01b / White3;B1;B1V01b;White3;2;0.2705;0.0747
DEALER 4;BA-3-AKD-02;B1 / B1V02a / Grey6;B1;B1V02a;Grey6;7;0.2705;0.0747
DEALER 5;BA-3-MAR-01;A2 / A2V02 / Black2;A2;A2V02;Black2;8;0.1318;0.0572
DEALER 6;BA-3-EGE-02;B1 / B1V01b / White3;B1;B1V01b;White3;2;0.4883;0.0729
DEALER 6;BA-3-EGE-02;B1 / B1V02a / Blue4;B1;B1V02a;Blue4;12;0.4883;0.0729
DEALER 7;BA-3-MAR-02;B1 / B1V02a / Black2;B1;B1V02a;Black2;12;0.555;0.0479
DEALER 7;BA-3-MAR-02;B1 / B1V02a / Blue4;B1;B1V02a;Blue4;7;0.555;0.0693
DEALER 8;BA-3-MAR-03;B1 / B1V01b / Black2;B1;B1V01b;Black2;7;0.28;0.0545
DEALER 8;BA-3-MAR-03;B1 / B1V02a / Black2;B1;B1V02a;Black2;1;0.28;0.0545
DEALER 9;BA-3-ICA-02;A3 / A3V02 / Black2;A3;A3V02;Black2;4;0.3153;0.0569
