dealer_name;p_score;s_score;h_score;composite_score
DEALER 1;0.7184979478468092;0.3116597408946468;1.0;0.6799329771394332
DEALER 2;0.2885888323490045;0.12234172573942799;0.4375;0.2832546972848257
DEALER 3;0.30637838768514614;0.7010510877536056;0.3125;0.4296997145723195
DEALER 4;0.29162883585872984;0.20202884380347105;0.3125;0.2704815041928872
DEALER 5;0.14278188535313105;0.0;0.25;0.13183918667428116
DEALER 6;0.4073445112668587;0.45294549010021995;0.625;0.48834650128732104
DEALER 7;0.6130499305915204;0.10009777560498653;0.9375;0.555049288875196
DEALER 8;0.28734707902319223;0.30078220483989243;0.25;0.2799895549596562
DEALER 9;0.03383648912929721;0.98240039110242;0.0;0.3152910776966281
DEALER 10;0.1893858139964705;0.604008799804449;0.125;0.2971510976307807
DEALER 11;0.0;1.0;0.0;0.3076923076923077
DEALER 12;0.159084759999278;0.8408702028843805;0.375;0.43530035473337786
DEALER 13;0.5115260474587228;0.41432412613053055;0.8125;0.5742251339858259
DEALER 14;0.45760390102543785;0.7081398191151309;0.6875;0.6054291370452087
DEALER 15;0.497612819285688;0.3992911268638474;0.8125;0.5642483541449099
DEALER 16;0.35331131800055066;0.5303104375458324;0.9375;0.5875229492450833
DEALER 17;1.0;0.37961378636030296;0.9375;0.7898811650339395
DEALER 18;0.4848768418718422;0.5028110486433633;0.8125;0.5912021849178973
DEALER 19;0.1874040875069528;0.35199217795160104;0.25;0.2573068576416283
DEALER 20;0.021422779024932614;0.5328770471767296;0.0;0.1722016987562755
DEALER 21;0.1697840837787816;0.4038132485944756;0.125;0.22801333948244695
DEALER 22;0.1658710683695148;0.042165729650452184;0.125;0.11523217388072174
