vehicle_type;model;version;color;quantity;used;remaining;usage_rate
A1 / A1V01 / Beige;A1;A1V01;Beige;18;0;18;0.0
A1 / A1V01 / Black2;A1;A1V01;Black2;16;0;16;0.0
A1 / A1V01 / Grey1;A1;A1V01;Grey1;17;0;17;0.0
A1 / A1V01 / Grey3;A1;A1V01;Grey3;28;0;28;0.0
A1 / A1V01 / White2;A1;A1V01;White2;18;0;18;0.0
A2 / A2V02 / Beige;A2;A2V02;Beige;33;33;0;100.0
A2 / A2V02 / Black2;A2;A2V02;Black2;41;41;0;100.0
A2 / A2V02 / Grey1;A2;A2V02;Grey1;26;14;12;53.8
A2 / A2V02 / Grey3;A2;A2V02;Grey3;17;17;0;100.0
A2 / A2V02 / Red2;A2;A2V02;Red2;6;0;6;0.0
A2 / A2V02 / White2;A2;A2V02;White2;19;19;0;100.0
A2 / A2V02 / Yellow;A2;A2V02;Yellow;1;0;1;0.0
A3 / A3V02 / Beige;A3;A3V02;Beige;8;8;0;100.0
A3 / A3V02 / Black2;A3;A3V02;Black2;9;7;2;77.8
A3 / A3V02 / Grey1;A3;A3V02;Grey1;7;0;7;0.0
A3 / A3V02 / Grey3;A3;A3V02;Grey3;8;8;0;100.0
A3 / A3V02 / Red2;A3;A3V02;Red2;4;0;4;0.0
A3 / A3V02 / White2;A3;A3V02;White2;8;8;0;100.0
A3 / A3V02 / Yellow;A3;A3V02;Yellow;2;0;2;0.0
B1 / B1V01b / Black2;B1;B1V01b;Black2;7;7;0;100.0
B1 / B1V01b / Blue4;B1;B1V01b;Blue4;12;12;0;100.0
B1 / B1V01b / Grey6;B1;B1V01b;Grey6;15;15;0;100.0
B1 / B1V01b / White3;B1;B1V01b;White3;4;4;0;100.0
B1 / B1V02 / Green3;B1;B1V02;Green3;1;0;1;0.0
B1 / B1V02a / Black2;B1;B1V02a;Black2;13;13;0;100.0
B1 / B1V02a / Blue4;B1;B1V02a;Blue4;19;19;0;100.0
B1 / B1V02a / Grey6;B1;B1V02a;Grey6;20;20;0;100.0
B1 / B1V02a / White3;B1;B1V02a;White3;5;5;0;100.0
