month_name,Competitor 1,Competitor 2,Competitor 3,Competitor 4,Competitor 5,Competitor 6,Competitor 7,Competitor 8,Competitor 9
Jan,0.537,0.6594,0.7603,0.5338,0.5748,0.871,0.6823,1.2343,0.6524
Feb,0.9775,0.9595,0.8012,1.0839,0.883,1.0165,0.8503,1.0776,0.6716
Mar,1.1246,1.272,0.8812,1.0654,1.4363,1.1996,0.8821,0.8465,0.7171
Apr,0.6711,0.7855,0.5418,0.9269,1.0303,0.7449,0.7545,0.9736,0.815
May,0.9032,0.9069,0.932,0.8682,0.8873,0.6941,1.0689,0.6418,1.0813
Jun,1.32,0.8497,0.892,0.8924,1.0736,0.8907,1.1912,1.046,0.9897
Jul,0.9292,1.0148,0.9162,1.0085,0.8292,0.7805,0.8919,1.1976,0.9456
Aug,0.8126,0.957,0.7953,0.9741,0.6596,1.0266,0.8501,1.2535,0.8004
Sep,0.8944,1.0961,1.6273,0.9452,0.7973,0.7302,0.9356,0.7825,0.796
Oct,0.9302,1.0563,1.007,0.9968,0.9172,1.0699,0.9805,0.8108,1.3773
Nov,1.11,1.0753,1.5584,1.1202,1.2608,1.4069,1.3076,0.9646,1.301
Dec,1.7902,1.3677,1.2873,1.5846,1.6507,1.569,1.6049,1.1712,1.8527
