month,DEALER 1,DEALER 10,DEALER 11,DEALER 12,DEALER 13,DEALER 14,DEALER 15,DEALER 16,DEALER 17,DEALER 18,DEALER 19,DEALER 2,DEALER 20,DEALER 21,DEALER 22,DEALER 3,DEALER 4,DEALER 5,DEALER 6,DEALER 7,DEALER 8,DEALER 9
1,0.9897,1.2289,1.5529,1.4227,1.0737,1.3141,1.0614,1.1686,1.0453,1.1461,1.0227,0.8348,1.1707,1.0651,0.7692,1.3083,0.9,0.7347,1.1053,0.8166,0.9808,1.5385
2,1.0722,0.8675,1.4118,0.866,1.0105,0.7608,1.0025,1.1971,1.5752,0.6404,0.8864,1.0435,1.4634,0.8521,0.5385,1.0376,0.95,0.8571,1.0105,0.7486,1.1538,1.2308
3,1.0309,1.0843,0.8471,0.9278,0.7579,0.9683,1.0614,1.1971,0.6158,1.4494,1.0909,1.0435,0.5854,1.2071,1.1538,1.0827,0.95,0.4898,1.1053,1.1342,1.0385,1.0769
4,0.701,0.6506,0.8471,0.6186,0.7263,0.4496,0.7666,0.7696,0.5012,0.7079,0.4091,0.7826,0.439,0.7101,0.6154,0.5414,0.6,0.6735,0.7579,0.5898,0.75,0.6154
5,0.7835,0.5783,0.9882,0.7423,0.6632,0.5879,0.7371,0.7126,1.389,0.3708,1.3636,0.6261,0.5854,0.568,0.5385,0.5865,0.7,0.9796,0.7263,1.0435,0.9231,1.2308
6,0.7835,0.9398,0.9882,1.2371,0.9474,1.245,0.973,1.0831,1.031,0.9438,0.8864,0.9913,0.7317,0.9941,0.9231,0.9474,1.05,0.9796,0.8211,0.8393,1.0962,0.9231
7,0.9691,0.6506,0.7059,1.1753,1.0421,0.7262,1.1499,0.9691,1.3031,0.8427,0.3409,0.9391,0.878,0.9941,0.8462,1.0376,1.1,1.3469,1.0737,0.7713,0.6346,0.7692
8,1.1959,1.1566,0.9882,1.3608,1.0105,0.7954,1.1204,1.1686,0.9881,1.3146,1.4318,0.8348,1.0244,1.4911,1.3077,1.1729,1.5,1.4082,1.0421,1.1115,1.4423,1.3846
9,1.0309,0.6506,0.5647,1.2371,1.1368,1.3487,0.973,0.8551,1.2029,1.0449,1.2273,1.2,1.3171,0.568,1.2308,0.9925,0.85,1.1633,1.1053,0.862,0.6346,0.6154
10,0.9691,1.2289,0.4235,0.866,0.9474,1.072,0.8845,1.1116,0.8592,0.6404,0.8182,0.9391,1.1707,1.0651,1.2308,0.8571,0.95,1.0408,0.7579,0.8393,0.6923,1.2308
11,0.9278,1.3012,0.2824,0.4948,1.1053,0.9683,1.0319,0.7126,0.4869,1.1798,1.1591,1.1478,0.878,0.9941,1.2308,0.9925,1.0,0.6735,0.7579,1.0208,1.3269,0.7692
12,1.5464,1.6627,2.4,1.0515,1.5789,1.7637,1.2383,1.0546,1.0024,1.7191,1.3636,1.6174,1.7561,1.4911,1.6154,1.4436,1.45,1.6531,1.7368,2.2231,1.3269,0.6154
