month,Grey3,Grey2,Black1,Black2,Beige,White2,Blue,White1,Grey1,Green1
1,1.0778,2.0106,1.5101,0.6257,0.6558,0.5186,1.5804,1.0777,0.0,0.32
2,0.9989,1.5989,1.5751,0.5455,0.3722,0.5365,1.3393,1.3107,0.0,1.6533
3,0.9332,1.2507,1.8512,0.2567,0.4609,0.8942,1.3393,0.9612,0.0,2.1333
4,0.6835,0.5066,0.7145,0.3209,0.6558,0.608,0.8036,0.4951,0.0965,1.92
5,0.8018,1.2982,0.9905,1.2513,0.3368,0.4292,0.9911,0.8738,0.933,1.0133
6,0.92,0.8232,0.8444,1.1551,1.0812,0.5365,0.7232,0.699,0.933,1.8667
7,1.3406,0.7599,0.8769,0.9947,1.2408,0.7869,0.8304,1.0194,0.7721,1.1733
8,0.5915,1.1082,1.5589,1.2193,0.8154,1.5559,1.3661,2.0971,0.9973,0.8533
9,1.0646,0.8232,0.6495,1.3476,1.099,1.4128,0.9643,0.8738,1.9303,0.0
10,0.6703,0.5541,0.5034,1.2032,1.3117,1.2519,0.5089,1.165,1.9625,0.2133
11,1.0515,0.5699,0.5521,0.8503,1.5953,1.1088,0.5893,0.7282,1.7373,0.4267
12,1.8664,0.6966,0.3735,2.2299,2.3752,2.3607,0.9643,0.699,2.6381,0.4267
