dealer,model,month,month_name,si
DEALER 1,A1,1,Ocak,0.0
DEALER 1,A1,2,Şubat,0.0
DEALER 1,A1,3,Mart,0.0
DEALER 1,A1,4,Nisan,0.0
DEALER 1,A1,5,Mayıs,0.0
DEALER 1,A1,6,Haziran,0.0
DEALER 1,A1,7,Temmuz,0.0
DEALER 1,A1,8,Ağustos,0.0
DEALER 1,A1,9,Eylül,4.0
DEALER 1,A1,10,Ekim,0.8
DEALER 1,A1,11,Kasım,4.0
DEALER 1,A1,12,Aralık,3.2
DEALER 1,A2,1,Ocak,0.7798
DEALER 1,A2,2,Şubat,0.7798
DEALER 1,A2,3,Mart,0.6931
DEALER 1,A2,4,Nisan,1.1264
DEALER 1,A2,5,Mayıs,0.7798
DEALER 1,A2,6,Haziran,0.8231
DEALER 1,A2,7,Temmuz,0.7798
DEALER 1,A2,8,Ağustos,0.8664
DEALER 1,A2,9,Eylül,1.1264
DEALER 1,A2,10,Ekim,1.1697
DEALER 1,A2,11,Kasım,0.9964
DEALER 1,A2,12,Aralık,2.0794
DEALER 1,A3,1,Ocak,1.2414
DEALER 1,A3,2,Şubat,1.4483
DEALER 1,A3,3,Mart,1.5517
DEALER 1,A3,4,Nisan,1.1379
DEALER 1,A3,5,Mayıs,0.931
DEALER 1,A3,6,Haziran,0.8276
DEALER 1,A3,7,Temmuz,0.7241
DEALER 1,A3,8,Ağustos,0.7241
DEALER 1,A3,9,Eylül,0.8276
DEALER 1,A3,10,Ekim,0.4138
DEALER 1,A3,11,Kasım,0.8276
DEALER 1,A3,12,Aralık,1.3448
DEALER 1,B1,1,Ocak,0.8471
DEALER 1,B1,2,Şubat,0.9882
DEALER 1,B1,3,Mart,1.6941
DEALER 1,B1,4,Nisan,0.6353
DEALER 1,B1,5,Mayıs,0.9882
DEALER 1,B1,6,Haziran,0.5647
DEALER 1,B1,7,Temmuz,1.4824
DEALER 1,B1,8,Ağustos,1.9059
DEALER 1,B1,9,Eylül,0.9882
DEALER 1,B1,10,Ekim,0.7059
DEALER 1,B1,11,Kasım,0.4941
DEALER 1,B1,12,Aralık,0.7059
DEALER 1,C1,1,Ocak,3.2727
DEALER 1,C1,2,Şubat,3.2727
DEALER 1,C1,3,Mart,0.2182
DEALER 1,C1,4,Nisan,0.2182
DEALER 1,C1,5,Mayıs,1.0909
DEALER 1,C1,6,Haziran,0.6545
DEALER 1,C1,7,Temmuz,0.2182
DEALER 1,C1,8,Ağustos,0.8727
DEALER 1,C1,9,Eylül,0.8727
DEALER 1,C1,10,Ekim,0.8727
DEALER 1,C1,11,Kasım,0.4364
DEALER 1,C1,12,Aralık,0.0
DEALER 10,A2,1,Ocak,0.7273
DEALER 10,A2,2,Şubat,0.4848
DEALER 10,A2,3,Mart,1.2121
DEALER 10,A2,4,Nisan,0.9697
DEALER 10,A2,5,Mayıs,0.4848
DEALER 10,A2,6,Haziran,0.6061
DEALER 10,A2,7,Temmuz,1.4545
DEALER 10,A2,8,Ağustos,0.8485
DEALER 10,A2,9,Eylül,0.6061
DEALER 10,A2,10,Ekim,1.0909
DEALER 10,A2,11,Kasım,1.9394
DEALER 10,A2,12,Aralık,1.5758
DEALER 10,A3,1,Ocak,0.8372
DEALER 10,A3,2,Şubat,1.1163
DEALER 10,A3,3,Mart,3.3488
DEALER 10,A3,4,Nisan,0.8372
DEALER 10,A3,5,Mayıs,0.8372
DEALER 10,A3,6,Haziran,0.5581
DEALER 10,A3,7,Temmuz,0.0
DEALER 10,A3,8,Ağustos,1.1163
DEALER 10,A3,9,Eylül,0.5581
DEALER 10,A3,10,Ekim,0.8372
DEALER 10,A3,11,Kasım,1.1163
DEALER 10,A3,12,Aralık,0.8372
DEALER 10,B1,1,Ocak,0.5854
DEALER 10,B1,2,Şubat,0.878
DEALER 10,B1,3,Mart,1.1707
DEALER 10,B1,4,Nisan,0.0
DEALER 10,B1,5,Mayıs,0.878
DEALER 10,B1,6,Haziran,2.3415
DEALER 10,B1,7,Temmuz,0.5854
DEALER 10,B1,8,Ağustos,1.7561
DEALER 10,B1,9,Eylül,0.878
DEALER 10,B1,10,Ekim,0.878
DEALER 10,B1,11,Kasım,0.5854
DEALER 10,B1,12,Aralık,1.4634
DEALER 10,C1,1,Ocak,2.4
DEALER 10,C1,2,Şubat,2.6667
DEALER 10,C1,3,Mart,0.0
DEALER 10,C1,4,Nisan,0.5333
DEALER 10,C1,5,Mayıs,0.0
DEALER 10,C1,6,Haziran,1.0667
DEALER 10,C1,7,Temmuz,1.0667
DEALER 10,C1,8,Ağustos,0.5333
DEALER 10,C1,9,Eylül,0.0
DEALER 10,C1,10,Ekim,1.0667
DEALER 10,C1,11,Kasım,2.1333
DEALER 10,C1,12,Aralık,0.5333
DEALER 11,A2,1,Ocak,0.5217
DEALER 11,A2,2,Şubat,2.087
DEALER 11,A2,3,Mart,0.0
DEALER 11,A2,4,Nisan,1.0435
DEALER 11,A2,5,Mayıs,0.0
DEALER 11,A2,6,Haziran,0.7826
DEALER 11,A2,7,Temmuz,1.0435
DEALER 11,A2,8,Ağustos,1.5652
DEALER 11,A2,9,Eylül,0.5217
DEALER 11,A2,10,Ekim,1.0435
DEALER 11,A2,11,Kasım,0.0
DEALER 11,A2,12,Aralık,3.3913
DEALER 11,A3,1,Ocak,2.1429
DEALER 11,A3,2,Şubat,1.7143
DEALER 11,A3,3,Mart,1.7143
DEALER 11,A3,4,Nisan,0.8571
DEALER 11,A3,5,Mayıs,1.2857
DEALER 11,A3,6,Haziran,0.8571
DEALER 11,A3,7,Temmuz,0.8571
DEALER 11,A3,8,Ağustos,0.8571
DEALER 11,A3,9,Eylül,0.0
DEALER 11,A3,10,Ekim,0.0
DEALER 11,A3,11,Kasım,0.0
DEALER 11,A3,12,Aralık,1.7143
