dealer,color,month,month_name,si
DEALER 1,Grey3,1,Ocak,0.4737
DEALER 1,Grey3,2,Şubat,0.4737
DEALER 1,Grey3,3,Mart,1.2632
DEALER 1,Grey3,4,Nisan,0.9474
DEALER 1,Grey3,5,Mayıs,0.7895
DEALER 1,Grey3,6,Haziran,1.1053
DEALER 1,Grey3,7,Temmuz,0.3158
DEALER 1,Grey3,8,Ağustos,0.9474
DEALER 1,Grey3,9,Eylül,1.1053
DEALER 1,Grey3,10,Ekim,0.9474
DEALER 1,Grey3,11,Kasım,1.4211
DEALER 1,Grey3,12,Aralık,2.2105
DEALER 1,Black2,1,Ocak,0.5926
DEALER 1,Black2,2,Şubat,0.7407
DEALER 1,Black2,3,Mart,0.5926
DEALER 1,Black2,4,Nisan,0.5926
DEALER 1,Black2,5,Mayıs,0.5926
DEALER 1,Black2,6,Haziran,0.8889
DEALER 1,Black2,7,Temmuz,1.037
DEALER 1,Black2,8,Ağustos,1.4815
DEALER 1,Black2,9,Eylül,1.4815
DEALER 1,Black2,10,Ekim,1.3333
DEALER 1,Black2,11,Kasım,0.8889
DEALER 1,Black2,12,Aralık,1.7778
DEALER 1,Grey2,1,Ocak,2.4
DEALER 1,Grey2,2,Şubat,1.35
DEALER 1,Grey2,3,Mart,1.35
DEALER 1,Grey2,4,Nisan,0.6
DEALER 1,Grey2,5,Mayıs,0.75
DEALER 1,Grey2,6,Haziran,0.45
DEALER 1,Grey2,7,Temmuz,1.5
DEALER 1,Grey2,8,Ağustos,1.35
DEALER 1,Grey2,9,Eylül,0.75
DEALER 1,Grey2,10,Ekim,0.45
DEALER 1,Grey2,11,Kasım,0.45
DEALER 1,Grey2,12,Aralık,0.6
DEALER 1,Beige,1,Ocak,0.9474
DEALER 1,Beige,2,Şubat,0.6316
DEALER 1,Beige,3,Mart,0.3158
DEALER 1,Beige,4,Nisan,0.6316
DEALER 1,Beige,5,Mayıs,0.6316
DEALER 1,Beige,6,Haziran,0.6316
DEALER 1,Beige,7,Temmuz,0.9474
DEALER 1,Beige,8,Ağustos,0.9474
DEALER 1,Beige,9,Eylül,1.5789
DEALER 1,Beige,10,Ekim,0.7895
DEALER 1,Beige,11,Kasım,1.5789
DEALER 1,Beige,12,Aralık,2.3684
DEALER 1,Black1,1,Ocak,1.4483
DEALER 1,Black1,2,Şubat,0.8276
