Dealer Code Processing;Dealer Name;Long Chassis;Model Description;Vehicle Version;Vehicle Code;Model Year;Color Type;Exterior Color;Interior Color;Physical Status Description;Estimated Production Day;Estimated Production Week;Sales Type;Sales Type Description;Have a Customer;Invoiced?;Dispatchable;Quota Status;Central / Dealer Quota;Production Day;Related Month Availability;Status;Month Number
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001751;B1;B1V01;N7;2026;Color;Grey3;IG1a;Locked order;24.02.2026;W09/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;24.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6001482;A2;A2V02;L6;2026;Color;Black2;IG1a;Partially modifiable order;03.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;03.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001205;B1;B1V01;N7;2026;Color;Grey6;IG1a;Partially modifiable order;09.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;09.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6002232;A2;A2V02;L6;2026;Color;Grey1;IG1a;Partially modifiable order;17.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;17.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6001959;A2;A2V02;L6;2026;Color;Beige;IG1a;Ready for dispatch;04.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;04.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8001163;A3;A3V02;M8;2026;Color;White2;IG1a;Partially modifiable order;09.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;09.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6001541;A2;A2V02;L6;2026;Color;Black2;IG1a;Partially modifiable order;03.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;03.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6002225;A2;A2V02;L6;2026;Color;Grey3;IG1a;Ready for dispatch;03.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;03.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001287;B1;B1V01;N7;2026;Color;Grey6;IG1a;Ready for dispatch;26.02.2026;W09/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;26.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6002245;A2;A2V02;L6;2026;Color;White2;IG1a;Locked order;10.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;10.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6002485;A2;A2V02;L6;2026;Color;Grey3;IG1a;Locked order;05.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;05.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001533;B1;B1V01;N7;2026;Color;Black2;IG1a;Locked order;12.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;12.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8001370;A3;A3V02;M8;2026;Color;Beige;IG1a;Locked order;10.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;10.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6002441;A2;A2V02;L6;2026;Color;Beige;IG1a;Locked order;11.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;11.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001661;B1;B1V01;N7;2026;Color;Grey6;IG1a;Locked order;19.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;19.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6002064;A2;A2V02;L6;2026;Color;Blue4;IG1a;Partially modifiable order;17.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;17.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001493;B1;B1V01;N7;2026;Color;Black2;IG1a;Locked order;09.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;09.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001677;B1;B1V01;N7;2026;Color;Grey6;IG1a;Ready for dispatch;13.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;13.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8001323;A3;A3V02;M8;2026;Color;Grey1;IG1a;Partially modifiable order;23.02.2026;W09/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;23.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6002313;A2;A2V02;L6;2026;Color;Black2;IG1a;Locked order;06.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;06.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6002069;A2;A2V02;L6;2026;Color;Grey1;IG1a;Locked order;23.02.2026;W09/02/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;23.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6002279;A2;A2V02;L6;2026;Color;Black2;IG1a;Locked order;13.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;13.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001745;B1;B1V01;N7;2026;Color;Blue4;IG1a;Partially modifiable order;12.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;12.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8001377;A3;A3V02;M8;2026;Color;Grey3;IG1a;Locked order;13.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;13.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001553;B1;B1V01;N7;2026;Color;Blue4;IG1a;Locked order;24.02.2026;W09/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;24.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001404;B1;B1V01;N7;2026;Color;Black2;IG1a;Locked order;22.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;22.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6002174;A2;A2V02;L6;2026;Color;Yellow;IG1a;Locked order;05.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;05.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001336;B1;B1V01;N7;2026;Color;Beige;IG1a;Locked order;02.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;02.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001708;B1;B1V01;N7;2026;Color;Beige;IG1a;Locked order;17.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;17.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001433;B1;B1V01;N7;2026;Color;Grey6;IG1a;Partially modifiable order;18.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;18.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6001974;A2;A2V02;L6;2026;Color;Beige;IG1a;Locked order;18.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;18.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6001982;A2;A2V02;L6;2026;Color;Grey1;IG1a;Partially modifiable order;21.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;21.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6002118;A2;A2V02;L6;2026;Color;Grey6;IG1a;Ready for dispatch;23.02.2026;W09/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;23.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6002158;A2;A2V02;L6;2026;Color;Black2;IG1a;Locked order;12.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;12.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6002418;A2;A2V02;L6;2026;Color;Grey6;IG1a;Partially modifiable order;20.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;20.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6001906;A2;A2V02;L6;2026;Color;Grey3;IG1a;Locked order;26.02.2026;W09/02/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;26.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6001301;A2;A2V02;L6;2026;Color;Grey1;IG1a;Locked order;03.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;03.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001714;B1;B1V01;N7;2026;Color;White2;IG1a;Partially modifiable order;13.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;13.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8001406;A3;A3V02;M8;2026;Color;Black2;IG1a;Locked order;18.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;18.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001411;B1;B1V01;N7;2026;Color;Black2;IG1a;Locked order;20.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;20.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6001760;A2;A2V02;L6;2026;Color;Beige;IG1a;Ready for dispatch;25.02.2026;W09/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;25.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6001362;A2;A2V02;L6;2026;Color;White2;IG1a;Partially modifiable order;20.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;20.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001447;B1;B1V01;N7;2026;Color;White2;IG1a;Locked order;14.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;14.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8001364;A3;A3V02;M8;2026;Color;Grey6;IG1a;Partially modifiable order;04.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;04.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001242;B1;B1V01;N7;2026;Color;Black2;IG1a;Locked order;28.02.2026;W09/02/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;28.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001568;B1;B1V01;N7;2026;Color;Grey6;IG1a;Partially modifiable order;20.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;20.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6001451;A2;A2V02;L6;2026;Color;White2;IG1a;Locked order;25.02.2026;W09/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;25.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6002311;A2;A2V02;L6;2026;Color;Grey6;IG1a;Locked order;18.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;18.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6001713;A2;A2V02;L6;2026;Color;Grey6;IG1a;Locked order;05.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;05.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6001505;A2;A2V02;L6;2026;Color;Grey1;IG1a;Locked order;08.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;08.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6002463;A2;A2V02;L6;2026;Color;Black2;IG1a;Locked order;26.02.2026;W09/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;26.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6001449;A2;A2V02;L6;2026;Color;Grey1;IG1a;Locked order;25.02.2026;W09/02/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;25.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001854;B1;B1V01;N7;2026;Color;Grey6;IG1a;Locked order;25.02.2026;W09/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;25.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6002089;A2;A2V02;L6;2026;Color;Grey1;IG1a;Partially modifiable order;25.02.2026;W09/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;25.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6001773;A2;A2V02;L6;2026;Color;Black2;IG1a;Locked order;11.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;11.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6002460;A2;A2V02;L6;2026;Color;White2;IG1a;Locked order;12.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;12.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001817;B1;B1V01;N7;2026;Color;Grey3;IG1a;Ready for dispatch;07.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;07.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001890;B1;B1V01;N7;2026;Color;White2;IG1a;Ready for dispatch;06.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;06.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6002490;A2;A2V02;L6;2026;Color;White2;IG1a;Locked order;27.02.2026;W09/02/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;27.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001571;B1;B1V01;N7;2026;Color;Grey6;IG1a;Locked order;15.02.2026;W07/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;15.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001825;B1;B1V01;N7;2026;Color;White2;IG1a;Locked order;04.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;04.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001457;B1;B1V01;N7;2026;Color;Black2;IG1a;Partially modifiable order;18.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;18.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001886;B1;B1V01;N7;2026;Color;Grey1;IG1a;Locked order;16.02.2026;W08/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;16.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8001418;A3;A3V02;M8;2026;Color;Grey1;IG1a;Partially modifiable order;05.02.2026;W06/02/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;05.02.2026;Following Months;To Be Produced;February
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7001349;B1;B1V01;N7;2026;Color;Grey6;IG1a;Locked order;23.02.2026;W09/02/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;23.02.2026;Following Months;To Be Produced;February
