Dealer Code Processing;Dealer Name;Long Chassis;Model Description;Vehicle Version;Vehicle Code;Model Year;Color Type;Exterior Color;Interior Color;Physical Status Description;Estimated Production Day;Estimated Production Week;Sales Type;Sales Type Description;Have a Customer;Invoiced?;Dispatchable;Quota Status;Central / Dealer Quota;Production Day;Related Month Availability;Status;Month Number
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8002973;A3;A3V02;M8;2026;Color;Red2;IG1a;Locked order;08.06.2026;W24/06/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;08.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6007202;A2;A2V02;L6;2026;Color;Grey1;IG1a;Ready for dispatch;12.06.2026;W24/06/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;12.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8003270;A3;A3V02;M8;2026;Color;White2;IG1a;Partially modifiable order;22.06.2026;W26/06/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;22.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6007157;A2;A2V02;L6;2026;Color;Black2;IG1a;Ready for dispatch;29.06.2026;W27/06/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;29.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6007755;A2;A2V02;L6;2026;Color;Black2;IG1a;Partially modifiable order;18.06.2026;W25/06/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;18.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6006823;A2;A2V02;L6;2026;Color;Blue4;IG1a;Locked order;30.06.2026;W27/06/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;30.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6007122;A2;A2V02;L6;2026;Color;Black2;IG1a;Ready for dispatch;03.06.2026;W23/06/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;03.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6007137;A2;A2V02;L6;2026;Color;Blue4;IG1a;Ready for dispatch;11.06.2026;W24/06/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;11.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7005022;B1;B1V01;N7;2026;Color;Grey1;IG1a;Locked order;08.06.2026;W24/06/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;08.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6007767;A2;A2V02;L6;2026;Color;Grey6;IG1a;Locked order;24.06.2026;W26/06/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;24.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6006697;A2;A2V02;L6;2026;Color;Grey6;IG1a;Locked order;20.06.2026;W25/06/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;20.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6008170;A2;A2V02;L6;2026;Color;Black2;IG1a;Partially modifiable order;24.06.2026;W26/06/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;24.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8003297;A3;A3V02;M8;2026;Color;Black2;IG1a;Locked order;15.06.2026;W25/06/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;15.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7004956;B1;B1V01;N7;2026;Color;White2;IG1a;Locked order;05.06.2026;W23/06/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;05.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6007979;A2;A2V02;L6;2026;Color;Black2;IG1a;Locked order;26.06.2026;W26/06/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;26.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7004989;B1;B1V01;N7;2026;Color;Grey6;IG1a;Locked order;21.06.2026;W25/06/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;21.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6007992;A2;A2V02;L6;2026;Color;Black2;IG1a;Locked order;04.06.2026;W23/06/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;04.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7004556;B1;B1V01;N7;2026;Color;Grey1;IG1a;Locked order;05.06.2026;W23/06/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;05.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6007894;A2;A2V02;L6;2026;Color;Black2;IG1a;Locked order;23.06.2026;W26/06/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;23.06.2026;Following Months;To Be Produced;June
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8002897;A3;A3V02;M8;2026;Color;Beige;IG1a;Ready for dispatch;20.06.2026;W25/06/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;20.06.2026;Following Months;To Be Produced;June
