Dealer Code Processing;Dealer Name;Long Chassis;Model Description;Vehicle Version;Vehicle Code;Model Year;Color Type;Exterior Color;Interior Color;Physical Status Description;Estimated Production Day;Estimated Production Week;Sales Type;Sales Type Description;Have a Customer;Invoiced?;Dispatchable;Quota Status;Central / Dealer Quota;Production Day;Related Month Availability;Status;Month Number
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6005033;A2;A2V02;L6;2026;Color;Red2;IG1a;Partially modifiable order;22.04.2026;W17/04/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;22.04.2026;Following Months;To Be Produced;April
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6004359;A2;A2V02;L6;2026;Color;White2;IG1a;Partially modifiable order;18.04.2026;W16/04/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;18.04.2026;Following Months;To Be Produced;April
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6005009;A2;A2V02;L6;2026;Color;Blue4;IG1a;Locked order;23.04.2026;W17/04/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;23.04.2026;Following Months;To Be Produced;April
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6004222;A2;A2V02;L6;2026;Color;Grey3;IG1a;Locked order;19.04.2026;W16/04/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;19.04.2026;Following Months;To Be Produced;April
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6004692;A2;A2V02;L6;2026;Color;Blue4;IG1a;Locked order;21.04.2026;W17/04/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;21.04.2026;Following Months;To Be Produced;April
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7003525;B1;B1V01;N7;2026;Color;Grey6;IG1a;Locked order;16.04.2026;W16/04/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;16.04.2026;Following Months;To Be Produced;April
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7003259;B1;B1V01;N7;2026;Color;Blue4;IG1a;Locked order;08.04.2026;W15/04/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;08.04.2026;Following Months;To Be Produced;April
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6005090;A2;A2V02;L6;2026;Color;Black2;IG1a;Locked order;24.04.2026;W17/04/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;24.04.2026;Following Months;To Be Produced;April
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7003468;B1;B1V01;N7;2026;Color;Grey3;IG1a;Locked order;09.04.2026;W15/04/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;09.04.2026;Following Months;To Be Produced;April
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6004361;A2;A2V02;L6;2026;Color;White2;IG1a;Partially modifiable order;22.04.2026;W17/04/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;22.04.2026;Following Months;To Be Produced;April
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6004979;A2;A2V02;L6;2026;Color;White2;IG1a;Partially modifiable order;11.04.2026;W15/04/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;11.04.2026;Following Months;To Be Produced;April
CENT-STOCK;CENTRAL STOCK;B1V01MY26N7003094;B1;B1V01;N7;2026;Color;Grey6;IG1a;Partially modifiable order;02.04.2026;W14/04/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;02.04.2026;Following Months;To Be Produced;April
CENT-STOCK;CENTRAL STOCK;A3V02MY26M8002155;A3;A3V02;M8;2026;Color;White2;IG1a;Partially modifiable order;10.04.2026;W15/04/2026;RE;Perakende;NO;N;Y;Merkezi Kota;Central;10.04.2026;Following Months;To Be Produced;April
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6004138;A2;A2V02;L6;2026;Color;Black2;IG1a;Partially modifiable order;02.04.2026;W14/04/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;02.04.2026;Following Months;To Be Produced;April
CENT-STOCK;CENTRAL STOCK;A2V02MY26L6004609;A2;A2V02;L6;2026;Color;White3;IG1a;Locked order;28.04.2026;W18/04/2026;RE;Perakende;NO;N;Y;Merkezi Rezerveli;Central;28.04.2026;Following Months;To Be Produced;April
